Code†Name†IsLocalBank†CountryCode
SGD†Singapore Dollar†1†SG
CAD†Canadian Dollar†0†CA
GBP†British Pound†0†GB
NZD†New Zealand Dollar†0†NZ
PLN†Polish Złoty†0†PL
IDR†Indonesian Rupiah†1†ID
HKD†Hong Kong Dollar†1†HK
MOP†Macau Pataca†0†MO
MYR†Malaysian Ringgit†0†MY
THB†Thailand Baht†0†TH
PHP†Philippine Peso†0†PH
VND†Vietnamese Dong†0†VN
INR†Indian Rupee†0†IN
TWD†Taiwan New Dollar†0†TW
AUD†Australian Dollar†0†AU
EUR†Euro†0†EU
USD†United States Dollar†1†US
JPY†Japanese Yen†0†JP
CNY†Chinese Yuan†0†CN
CNH†Chinese Yuan†0†CN
KRW†South Korean Won†0†KR
SEK†Swedish Krona†0†SE
CHF†Swiss Franc†0†CH
MMK†Burmese Kyat†0†MM
AED†United Arab Emirates Dirham†0†AE
